Company,Ticker
Aarti Drugs Ltd,AARTIDRUGS.NS
Aarti Industries Ltd,AARTIIND.NS
Amara Raja Energy & Mobility Ltd,AMARAJABAT.NS
Angel One Ltd,ANGELONE.NS
Ashoka Buildcon Ltd,ASHOKA.NS
Blue Dart Express Ltd,BLUEDART.NS
Butterfly Gandhimathi Appliances Ltd,BUTTERFLY.NS
Central Depository Services (India) Ltd,CDSL.NS
CESC Ltd,CESC.NS
Chennai Petroleum Corporation Ltd,CHENNPETRO.NS
Cipla Ltd,CIPLA.NS
Coal India Ltd,COALINDIA.NS
Cochin Minerals and Rutile Ltd,COCHINMIN.NS
Container Corporation of India Ltd,CONCOR.NS
Deepak Nitrite Ltd,DEEPAKNTR.NS
De Nora India Ltd,DENORA.NS
Devyani International Ltd,DEVYANI.NS
Easy Trip Planners Ltd,EASEMYTRIP.NS
EPL Ltd,EPL.NS
Equitas Small Finance Bank Ltd,EQUITASBNK.NS
Filatex India Ltd,FILATEX.NS
Fineotex Chemical Ltd,FCL.NS
Gail (India) Ltd,GAIL.NS
Gokul Agro Resources Ltd,GOKULAGRO.NS
Great Eastern Shipping Company Ltd,GESHIP.NS
Gujarat Fluorochemicals Ltd,FLUOROCHEM.NS
Gujarat Gas Ltd,GUJGASLTD.NS
Gujarat Narmada Vly Frtlzrs & Chmcl Ltd,GNFC.NS
Gujarat State Fertilizers & Chemicls Ltd,GSFC.NS
Happiest Minds Technologies Ltd,HAPPSTMNDS.NS
HFCL Ltd,HFCL.NS
Hindalco Industries Ltd,HINDALCO.NS
IFCI Ltd,IFCI.NS
Indian Railway Finance Corp Ltd,IRFC.NS
Indo Count Industries Ltd,INDOCO.NS
Indusind Bank Ltd,INDUSINDBK.NS
Infosys Ltd,INFY.NS
Ircon International Ltd,IRCON.NS
ITC Ltd,ITC.NS
Jindal SAW Ltd,JINDALSAW.NS
Kalyan Jewellers India Ltd,KALYANKJIL.NS
Karnataka Bank Ltd,KTKBANK.NS
Kaveri Seed Company Ltd,KSCL.NS
KPR Mill Ltd,KPRMILL.NS
Likhitha Infrastructure Ltd,LIKHITHA.NS
Life Insurance Corporation of India,LICI.NS
Linde India Ltd,LINDEINDIA.NS
Manali Petrochemicals Ltd,MANALIPETC.NS
Marksans Pharma Ltd,MARKSANS.NS
Mahanagar Gas Ltd,MGL.NS
MMTC Ltd,MMTC.NS
Moil Ltd,MOIL.NS
MTAR Technologies Ltd,MTARTECH.NS
Natco Pharma Ltd,NATCOPHARM.NS
National Aluminium Co Ltd,NATIONALUM.NS
NCC Limited,NCC.NS
NBCC (India) Ltd,NBCC.NS
NMDC Ltd,NMDC.NS
Oil and Natural Gas Corporation Ltd,ONGC.NS
Oil India Ltd,OIL.NS
Orient Cement Ltd,ORIENTCEM.NS
PCBL Chemical Ltd,PCBL.NS
Petronet LNG Ltd,PETRONET.NS
Power Finance Corporation Ltd,PFC.NS
Praj Industries Ltd,PRAJIND.NS
Prince Pipes and Fittings Ltd,PRINCEPIPE.NS
Pritika Auto Industries Ltd,PRITIKAUTO.NS
R Systems International Ltd,RSYSTEMS.NS
Rana Sugars Ltd,RANASUG.NS
Rattanindia Enterprises Ltd,RTNINDIA.NS
Seshasayee Paper and Boards Ltd,SESHAPAPER.NS
Shanthi Gears Ltd,SHANTIGEAR.NS
shipping corporation of India Ltd,SCI.NS
SKF India Ltd,SKFINDIA.NS
SJVN Ltd,SJVN.NS
Sobha Ltd,SOBHA.NS
Sterlite Technologies Ltd,STRTECH.NS
Sun Tv Network Ltd,SUNTV.NS
Surat Trade and Mercantile Ltd,SURATTRADE.NS
Suzlon Energy Ltd,SUZLON.NS
Syngene International Ltd,SYNGENE.NS
Tata Consumer Products Ltd,TATACONSUM.NS
Tata Elxsi Ltd,TATAELXSI.NS
Tata Power Company Ltd,TATAPOWER.NS
TCI Express Ltd,TCIEXP.NS
Tejas Networks Ltd,TEJASNET.NS
Thangamayil Jewellery Ltd,THANGAMAYIL.NS
Trident Ltd,TRIDENT.NS
Tube Investments of India Ltd,TIINDIA.NS
Ultracab (India) Ltd,ULTRACAB.NS
UNO Minda Ltd,UNOMINDA.NS
Varun Beverages Ltd,VBL.NS
Vardhman Acrylics Limited,VARDHACRLC.NS
Venky's (India) Ltd,VENKYS.NS
V I P Industries Ltd,VIPIND.NS
West Coast Paper Mills Ltd,WSTCSTPAPR.NS
Westlife Foodworld Ltd,WESTLIFE.NS
Zydus Lifesciences Ltd,ZYDUSLIFE.NS
Zen Technologies Limited,ZENTEC.NS
